"Sample"	"coding_exons"	"GtRNAdb"	"intergenic"	"lncRNA"	"miRNA"	"miRNA_primary_transcript"	"misc_RNA_ensembl"	"Mt_rRNA_ensembl"	"Mt_tRNA_ensembl"	"piRBase"	"protein_coding_gene"	"ribozyme_ensembl"	"rRNA_ensembl"	"scaRNA_ensembl"	"scRNA_ensembl"	"snoRNA_ensembl"	"snRNA_ensembl"	"sRNA_ensembl"
"19-231_SC6_S26_L001_R1_001"	2.86807208432506	3.6144168650119	24.2043522611357	14.6497789867392	2.93097585855151	0.00170010200612037	0.246514790887453	0.0969058143488609	0.32641958517511	0.749744984699082	27.2815368922135	0	18.9170350221013	0.00850051003060184	0	4.04624277456647	0.0578034682080925	0
"19-231_SC9_S27_L001_R1_001"	2.59647709492014	4.53144123069296	19.4875211079955	11.8669537870455	11.746115354227	0	0.373359773195557	0.0402794776061597	0.295899239337558	0.697144804721994	24.7254024074734	0.0108444747401199	21.6192349997676	0.00154921067715999	0	1.90552913290678	0.102247904692559	0
"19-295_SC1_S32_L001_R1_001"	3.24182409679813	2.31379487472176	30.4172136293591	12.0495405513384	0.220307060099309	0.00228297471605502	0.220307060099309	0.0125563609383026	0.0148393356543576	0.262542092346327	36.6223389075966	0	14.6030477712459	0	0	0.00913189886422008	0.0102733862222476	0
"19-295_SC3_S33_L001_R1_001"	3.19298823443304	1.94323983092716	25.1578196190372	14.9329380981135	1.68157947704525	0.00365958536897769	0.0951492195934201	0.256170975828439	0.477575890651589	0.581874073667453	28.881447731972	0.0256170975828439	18.7974602477539	0	0	3.88464986916982	0.0878300488554647	0
"19-295_SC4_S34_L001_R1_001"	2.88761768561554	2.50864020974854	25.1960433798117	16.3723036586819	2.31319270647122	0.00357525920629246	0.117983553807651	0.740078655702538	0.824693123584793	0.833035395066142	26.129186032654	0	17.7309021570731	0	0	4.26290072696937	0.0798474556071982	0
"19-295_SC5_S35_L001_R1_001"	3.00495456464263	2.17956408718256	25.0238841120665	15.3524850585438	1.57301872958742	0.0155524450665422	0.0977582261325513	0.271056899731165	0.465462463062943	0.869826034793041	29.7007265213624	0.00555444466662223	17.582039147726	0.00666533359994668	0	3.79590748516963	0.0555444466662223	0
"19-315_SC1_S21_L001_R1_001"	2.97857566508021	2.17136574710316	32.8091773113255	17.9047260838746	0.137428211841972	0	0.0607577357617139	0.0260390296121631	0.00289322551246257	0.494741562631099	35.6980629855194	0	5.01395981309763	0.0159127403185441	0	2.67768021178411	0.00867967653738771	0
"19-315_SC3_S22_L001_R1_001"	3.7990588020286	2.39183076712204	34.6644126650523	13.8575410060767	0.191894732032713	0	0.00685338328688262	0.0114223054781377	0.0662493717731987	0.461461141316763	35.0436332069265	0	9.48508246904555	0	0	0.0137067665737652	0.00685338328688262	0
"negative_S23_L001_R1_001"	3.27770033530498	1.07938062766078	31.6316919715179	17.008250762913	0.0866518479448442	0	0.0301397731982067	0.0263723015484309	0.0244885657235429	0.491655050295747	36.2072862901707	0	10.1213125871228	0.00188373582488792	0	0.00941867912443959	0.00376747164977584	0
"negative_S34_L001_R1_001"	3.48063981468538	0.992471593745632	37.2027078299419	15.4422189827665	0.0798769894362682	0.0019969247359067	0.00599077420772011	0.00399384947181341	0.0019969247359067	0.559138926053877	37.4263634003634	0	4.79861014038381	0	0	0.00399384947181341	0	0
